"","Country Name","Indicator Name","Year","Value"
"132","Czechia","Gas",1981,10.4907389542736
"133","Czechia","Oil",1981,46.7286529037237
"134","Czechia","CO2_emissions",1981,17615.4886572021
"135","Czechia","Renewables",1981,0.93
"136","Denmark","Biomass",1981,0
"137","Denmark","Hydro",1981,6.92682926829268
"138","Denmark","Solar",1981,0
"139","Denmark","Wind",1981,2.04878048780488
"140","Denmark","Coal",1981,40.1401791219512
"141","Denmark","Gas",1981,0
"142","Denmark","Oil",1981,106.747793560976
"143","Denmark","CO2_emissions",1981,10101.9612129344
"144","Denmark","Renewables",1981,0.061
"145","Ecuador","Biomass",1981,0
"146","Ecuador","Hydro",1981,95.023176384484
"147","Ecuador","Solar",1981,0
"148","Ecuador","Wind",1981,0
"149","Ecuador","Coal",1981,0
"150","Ecuador","Gas",1981,0.347282751890705
"151","Ecuador","Oil",1981,17.5480114662113
"152","Ecuador","CO2_emissions",1981,2031.32476230842
"153","Ecuador","Renewables",1981,5.042
"154","Egypt","Biomass",1981,0
"155","Egypt","Hydro",1981,230.027779279279
"156","Egypt","Solar",1981,0
"157","Egypt","Wind",1981,0
"158","Egypt","Coal",1981,0.669026122702703
"159","Egypt","Gas",1981,1.90418918918919
"160","Egypt","Oil",1981,14.5263723198198
"161","Egypt","CO2_emissions",1981,1146.45684938294
"162","Egypt","Renewables",1981,11.857
"163","Europe","Biomass",1981,15.4390840952889
"164","Europe","Hydro",1981,675.415062975972
"165","Europe","Solar",1981,0
"166","Europe","Wind",1981,0.01507509499205
"167","Europe","Coal",1981,29.9099290498864
"168","Europe","Gas",1981,14.3750907124113
"169","Europe","Oil",1981,45.0240030799906
"170","Europe","CO2_emissions",1981,11170.9978891183
"171","Europe","Renewables",1981,6.853
"172","Finland","Biomass",1981,0
"173","Finland","Hydro",1981,2838.78283878285
"174","Finland","Solar",1981,0
"175","Finland","Wind",1981,0
"176","Finland","Coal",1981,24.6941787941788
"177","Finland","Gas",1981,5.32744282744283
"178","Finland","Oil",1981,108.837201871102
"179","Finland","CO2_emissions",1981,10686.798951285
"180","Finland","Renewables",1981,14.372
"181","France","Biomass",1981,27.5706749690508
"182","France","Hydro",1981,1333.95845605218
"183","France","Solar",1981,0
"184","France","Wind",1981,0
"185","France","Coal",1981,21.9702370613995
"186","France","Gas",1981,17.0096855392916
"187","France","Oil",1981,78.6063421222815
"188","France","CO2_emissions",1981,8416.15820200633
"189","France","Renewables",1981,9.037
"190","Germany","Biomass",1981,23.0992683335894
"191","Germany","Hydro",1981,254.963299533979
"192","Germany","Solar",1981,0
"193","Germany","Wind",1981,0
"194","Germany","Coal",1981,77.0308377630973
"195","Germany","Gas",1981,26.9137535115105
"196","Germany","Oil",1981,73.8078538690019
"197","Germany","CO2_emissions",1981,13423.933634814
"198","Germany","Renewables",1981,1.472
"199","Greece","Biomass",1981,0
"200","Greece","Hydro",1981,350.514403292181
"201","Greece","Solar",1981,0
"202","Greece","Wind",1981,0
"203","Greece","Coal",1981,16.8893444444444
"204","Greece","Gas",1981,0
"205","Greece","Oil",1981,52.1636975308642
"206","Greece","CO2_emissions",1981,5156.88566005417
"207","Greece","Renewables",1981,4.831
"208","Hong Kong","Biomass",1981,0
"209","Hong Kong","Hydro",1981,0
"210","Hong Kong","Solar",1981,0
"211","Hong Kong","Wind",1981,0
"212","Hong Kong","Coal",1981,0.294726468222043
"213","Hong Kong","Gas",1981,0
"214","Hong Kong","Oil",1981,58.649979686243
"215","Hong Kong","CO2_emissions",1981,3744.29930794316
"216","Hong Kong","Renewables",1981,0
"217","Hungary","Biomass",1981,0
"218","Hungary","Hydro",1981,15.6337241764377
"219","Hungary","Solar",1981,0
"220","Hungary","Wind",1981,0
"221","Hungary","Coal",1981,31.6250284757119
"222","Hungary","Gas",1981,31.7725293132328
"223","Hungary","Oil",1981,43.1633298901917
"224","Hungary","CO2_emissions",1981,8045.93028435513
"225","Hungary","Renewables",1981,0.146
"226","Iceland","Biomass",1981,533.04329004329
"227","Iceland","Hydro",1981,13352.8138528138
"228","Iceland","Solar",1981,0
"229","Iceland","Wind",1981,0
"230","Iceland","Coal",1981,6.47607272727273
"231","Iceland","Gas",1981,0
"232","Iceland","Oil",1981,105.900212121212
"233","Iceland","CO2_emissions",1981,7562.69298150855
"234","Iceland","Renewables",1981,55.27
"235","India","Biomass",1981,0
"236","India","Hydro",1981,82.5890347405427
"237","India","Solar",1981,0
"238","India","Wind",1981,0
"239","India","Coal",1981,3.73465003122347
"240","India","Gas",1981,0.0995469713662891
"241","India","Oil",1981,2.04136090917106
"242","India","CO2_emissions",1981,471.222029312852
"243","India","Renewables",1981,12.261
"244","Indonesia","Biomass",1981,0
"245","Indonesia","Hydro",1981,8.3739575189813
"246","Indonesia","Solar",1981,0
"247","Indonesia","Wind",1981,0
"248","Indonesia","Coal",1981,0.074894062462733
"249","Indonesia","Gas",1981,1.69944480515178
"250","Indonesia","Oil",1981,5.91644768050458
"251","Indonesia","CO2_emissions",1981,664.49290052638
"252","Indonesia","Renewables",1981,1.077
"253","Iran","Biomass",1981,0
"254","Iran","Hydro",1981,151.600810945274
"255","Iran","Solar",1981,0
"256","Iran","Wind",1981,0
"257","Iran","Coal",1981,1.04032814865672
"258","Iran","Gas",1981,4.41317065198831
"259","Iran","Oil",1981,29.6134791618764
"260","Iran","CO2_emissions",1981,2799.21806919684
"261","Iran","Renewables",1981,4.144
"262","Iraq","Biomass",1981,0
"263","Iraq","Hydro",1981,43.4349188265451
"264","Iraq","Solar",1981,0
"265","Iraq","Wind",1981,0
"266","Iraq","Coal",1981,0
"267","Iraq","Gas",1981,1.50982626032469
"268","Iraq","Oil",1981,22.2608800535234
"269","Iraq","CO2_emissions",1981,2271.5390126429
"270","Iraq","Renewables",1981,1.794
"271","Ireland","Biomass",1981,0
"272","Ireland","Hydro",1981,251.496201052016
"273","Ireland","Solar",1981,0
"274","Ireland","Wind",1981,0
"275","Ireland","Coal",1981,24.1273220338983
"276","Ireland","Gas",1981,12.7583284628872
"277","Ireland","Oil",1981,63.525260666277
"278","Ireland","CO2_emissions",1981,7615.63551554909
"279","Ireland","Renewables",1981,2.443
"280","Israel","Biomass",1981,0
"281","Israel","Hydro",1981,0.530363298859719
"282","Israel","Solar",1981,0
"283","Israel","Wind",1981,0
"284","Israel","Coal",1981,0.0111026252983294
"285","Israel","Gas",1981,0.0186364070548926
"286","Israel","Oil",1981,91.799225404402
"287","Israel","CO2_emissions",1981,5573.45093542519
"288","Israel","Renewables",1981,0.006
"289","Italy","Biomass",1981,61.392797097602
"290","Italy","Hydro",1981,761.596318909831
"291","Italy","Solar",1981,0
"292","Italy","Wind",1981,0
"293","Italy","Coal",1981,9.53320392885585
"294","Italy","Gas",1981,16.1953013007698
"295","Italy","Oil",1981,72.5501288381559
"296","Italy","CO2_emissions",1981,6641.90085585167
