"","Entity","Year","Oil","Coal_consumption.Coal","Gas_consumption.Gas"
"834","Europe",1999,46.6606975986313,22.169896895241,26.9805784450613
"835","Europe",2000,46.1287102753654,22.8186442617332,27.7108231204928
"836","Europe",2001,46.8617490719042,22.6035322607412,28.2465947761368
"837","Europe",2002,46.6295778460378,22.5746691858888,28.3153771925678
"838","Europe",2003,46.8438854324711,23.4463657716411,29.5609532281868
"839","Europe",2004,47.2366076353964,23.0260628968854,30.2361130124948
"840","Europe",2005,47.4328102246397,22.4455499560711,30.9779509660521
"841","Europe",2006,47.5092845555109,23.4610862586329,30.6924785325063
"842","Europe",2007,46.4642169004746,23.7214143728671,30.3647339507718
"843","Europe",2008,45.9284883772954,22.333149295975,30.7225445563482
"844","Europe",2009,43.5673968813201,19.9636018141655,28.286153846403
"845","Europe",2010,42.9834813738704,20.8243836552233,30.4523720856455
"846","Europe",2011,41.7288559555835,21.6652329271787,28.3183626997723
"847","Europe",2012,40.263027378123,22.1094877042501,27.5491850865204
"848","Europe",2013,39.4737586742106,21.3433438936591,26.9497845816512
"849","Europe",2014,38.6108770088568,20.0101383817825,24.2664705899501
"850","Europe",2015,39.4720016315025,19.1098840352701,24.6681189440317
"851","Europe",2016,40.3683457578116,18.3855883371999,25.9952898642443
"852","Europe",2017,41.0512741820689,17.7462131178964,26.9927182440794
"853","Europe",2018,40.8028693424564,17.3029966585777,26.4302515592546
"854","Finland",1981,108.837201871102,24.6941787941788,5.32744282744283
"855","Finland",1982,100.219292037229,27.2486039296794,5.00599793174767
"856","Finland",1983,92.5587714932127,29.4329494035376,4.82784862196627
"857","Finland",1984,93.3538539279869,33.7189034369885,5.5
"858","Finland",1985,93.8767424149868,42.5357361026268,6.94603950315618
"859","Finland",1986,97.9264622718053,38.7421906693712,8.37728194726166
"860","Finland",1987,97.2041843914274,43.2545491306106,11.0432672866963
"861","Finland",1988,95.6978326950212,43.1767788752268,11.8427736343479
"862","Finland",1989,95.2502501506932,42.1022704440426,15.4792043399638
"863","Finland",1990,97.8308560622326,44.1623298638911,18.1657325860689
"864","Finland",1991,96.1912344996738,43.9055588762702,19.0579796772265
"865","Finland",1992,94.3464011616587,39.7559960356789,19.6876114965312
"866","Finland",1993,90.1993442022037,45.205047318612,20.2358044164038
"867","Finland",1994,93.2524174595831,54.7779085736708,22.2271924661566
"868","Finland",1995,84.6381955629621,48.2473139285017,22.9826137917562
"869","Finland",1996,87.5614447573905,57.2881058983843,23.9598987736033
"870","Finland",1997,86.225313461224,54.1034549689441,23.5050465838509
"871","Finland",1998,90.2244459183892,44.2951200619675,26.8650271107668
"872","Finland",1999,90.7657137680222,42.8199381761978,26.8330757341577
"873","Finland",2000,90.7241656568026,40.4737856592136,27.3469545104086
"874","Finland",2001,88.798875712925,48.8001923076923,29.6030769230769
"875","Finland",2002,91.7673131308974,52.8923844235565,29.3220794168425
"876","Finland",2003,94.7969248143245,65.8375741343027,32.3703845418022
"877","Finland",2004,88.1821003431219,58.9786341091187,31.0965280427318
"878","Finland",2005,90.9583162089144,37.7653546301578,28.3605248146035
"879","Finland",2006,87.5160302149094,58.774682584802,30.2080727686185
"880","Finland",2007,88.1359116757978,55.2795394488486,27.832389580974
"881","Finland",2008,85.7233324442617,41.99229178417,28.3455536755029
"882","Finland",2009,80.0884938360616,42.1121302882815,25.1905653313366
"883","Finland",2010,83.5780467322641,52.9500559075662,27.7077897875513
"884","Finland",2011,78.9737131736768,42.8243042671614,24.1246753246753
"885","Finland",2012,75.2092005672545,34.9041551246537,21.2376731301939
"886","Finland",2013,78.3359801536216,38.4168045596617,19.6624379481522
"887","Finland",2014,73.5950991762302,34.2957333821644,17.5065006409083
"888","Finland",2015,73.0428019240991,29.1658456486043,15.02700237183
"889","Finland",2016,78.5831049112301,33.2540923972354,13.1300472899236
"890","Finland",2017,74.7203441878828,30.3941208492107,11.9735075303938
"891","Finland",2018,73.6210179029314,31.771319934818,13.6907477820025
"892","France",1981,78.6063421222815,21.9702370613995,17.0096855392916
"893","France",1982,72.4352676729606,22.3538217719843,16.267031594933
"894","France",1983,70.332277732053,20.1242074074074,17.2380246709465
"895","France",1984,67.454942909124,19.1420511234422,17.4869682932775
"896","France",1985,65.9891952945435,18.4808708714143,18.620023721437
"897","France",1986,66.9682690611216,15.1959470699433,18.6280474441264
"898","France",1987,67.0689555858018,13.7590493928866,18.7495540832408
"899","France",1988,66.3235044186295,13.3676827138937,18.5600345695756
"900","France",1989,67.7616125629388,14.4820346074746,18.0719788176725
"901","France",1990,68.4619226004553,14.0306231139817,19.2336386256551
"902","France",1991,72.1867176441649,14.8672080683136,20.978994623467
"903","France",1992,71.7812632610116,13.0555892697779,20.8508583127723
"904","France",1993,68.9135068424628,10.6257291267213,21.2419923304863
"905","France",1994,66.3921864507252,10.4111997499436,20.2014499800302
"906","France",1995,66.6847019920719,10.6187481402028,21.423509567143
"907","France",1996,67.8320082354718,11.2731531407295,23.5904192236089
"908","France",1997,68.0855641435723,9.83758849899521,22.5363580151492
"909","France",1998,70.289674242005,11.6554712203135,23.9364365888714
"910","France",1999,70.9629116244154,10.3914002452984,24.2975163532298
"911","France",2000,69.4795324008755,10.0506760726595,25.3743726171312
"912","France",2001,69.386427482709,8.74100960797521,26.4728276976963
"913","France",2002,66.9988330425624,8.94596635733993,26.2427286256542
"914","France",2003,66.6154970146317,9.43911669607648,27.321345349532
"915","France",2004,66.7150095418441,8.91954291034301,27.6933490395071
"916","France",2005,65.337062568355,9.19935039816754,28.1029564790576
"917","France",2006,64.7382760126334,8.44662276369312,26.9700336536117
"918","France",2007,62.7387175256555,8.69372788866799,26.0452455995733
"919","France",2008,61.1936152558575,8.12538963815525,26.8435789033741
"920","France",2009,58.4432289138871,7.19667895898822,25.7473849991206
"921","France",2010,56.1331567699144,7.66436353740458,28.3765935114504
"922","France",2011,54.6540817885037,6.46902453430768,24.4959865663851
"923","France",2012,52.5464842026823,7.28905176667737,25.171396087408
"924","France",2013,51.5884113494752,7.57785167497474,25.4351509249695
"925","France",2014,49.6434584834835,5.63311301773998,21.2590058089541
