Country;Year;Value
France;2016;6.546,1
France;2017;3.414,3
France;2018;
France;2019;
Germany;1999;4.134,0
Germany;2000;17.353,0
Germany;2001;18.664,1
Germany;2002;18.524,0
Germany;2003;18.856,6
Germany;2004;20.418,7
Germany;2005;20.362,1
Germany;2006;19.948,0
Germany;2007;19.653,4
Germany;2008;18.895,8
Germany;2009;18.562,3
Germany;2010;19.537,9
Germany;2011;19.261,0
Germany;2012;19.732,1
Germany;2013;19.665,9
Germany;2014;19.236,4
Germany;2015;19.225,9
Germany;2016;17.342,3
Germany;2017;10.344,5
Germany;2018;
Germany;2019;
Greece;1999;16,9
Greece;2000;39,2
Greece;2001;45,8
Greece;2002;64,8
Greece;2003;70,9
Greece;2004;64,9
Greece;2005;110,9
Greece;2006;91,8
Greece;2007;116,2
Greece;2008;118,8
Greece;2009;103,8
Greece;2010;80,3
Greece;2011;102,0
Greece;2012;163,6
Greece;2013;152,3
Greece;2014;144,2
Greece;2015;118,5
Greece;2016;122,8
Greece;2017;86,9
Greece;2018;
Greece;2019;
Hungary;1999;28,9
Hungary;2000;100,3
Hungary;2001;122,7
Hungary;2002;127,4
Hungary;2003;150,8
Hungary;2004;166,9
Hungary;2005;155,9
Hungary;2006;150,0
Hungary;2007;179,3
Hungary;2008;179,2
Hungary;2009;172,3
Hungary;2010;208,7
Hungary;2011;243,3
Hungary;2012;192,3
Hungary;2013;206,5
Hungary;2014;210,4
Hungary;2015;228,6
Hungary;2016;185,8
Hungary;2017;68,9
Hungary;2018;
Hungary;2019;
Iceland;1999;17,1
Iceland;2000;29,5
Iceland;2001;33,3
Iceland;2002;89,6
Iceland;2003;43,4
Iceland;2004;57,1
Iceland;2005;58,0
Iceland;2006;38,7
Iceland;2007;41,3
Iceland;2008;40,0
Iceland;2009;41,4
Iceland;2010;45,3
Iceland;2011;55,1
Iceland;2012;62,2
Iceland;2013;61,4
Iceland;2014;52,9
Iceland;2015;54,1
Iceland;2016;35,4
Iceland;2017;29,5
Iceland;2018;
Iceland;2019;
Ireland;1999;119,1
Ireland;2000;230,2
Ireland;2001;399,1
Ireland;2002;355,2
Ireland;2003;389,9
Ireland;2004;431,7
Ireland;2005;439,4
Ireland;2006;492,3
Ireland;2007;580,4
Ireland;2008;608,9
Ireland;2009;522,6
Ireland;2010;591,5
Ireland;2011;563,6
Ireland;2012;650,8
Ireland;2013;769,0
Ireland;2014;810,6
Ireland;2015;805,0
Ireland;2016;820,2
Ireland;2017;646,7
Ireland;2018;
Ireland;2019;
Israel;1999;494,7
Israel;2000;1.668,2
Israel;2001;2.549,9
Israel;2002;2.519,5
Israel;2003;2.685,1
Israel;2004;3.010,7
Israel;2005;3.494,4
Israel;2006;3.617,7
Israel;2007;3.778,9
Israel;2008;3.800,3
Israel;2009;3.485,3
Israel;2010;3.602,6
Israel;2011;3.747,6
Israel;2012;4.576,0
Israel;2013;4.451,0
Israel;2014;4.315,7
Israel;2015;4.558,5
Israel;2016;3.948,1
Israel;2017;3.066,8
Israel;2018;
Israel;2019;
Italy;1999;570,1
Italy;2000;2.627,8
Italy;2001;2.909,2
Italy;2002;2.908,2
Italy;2003;3.054,1
Italy;2004;3.205,5
Italy;2005;3.375,8
Italy;2006;3.026,1
Italy;2007;2.895,1
Italy;2008;3.165,4
Italy;2009;3.225,3
Italy;2010;3.332,6
Italy;2011;3.153,8
Italy;2012;3.229,4
Italy;2013;3.363,6
Italy;2014;3.445,3
Italy;2015;3.445,8
Italy;2016;3.143,8
Italy;2017;1.748,6
Italy;2018;
Italy;2019;
Japan;1999;12.998,4
Japan;2000;51.802,2
Japan;2001;52.981,4
Japan;2002;55.828,3
Japan;2003;57.710,1
Japan;2004;62.778,8
Japan;2005;63.277,4
Japan;2006;62.017,0
