Title,Latitude,Longitude,"Company Size","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Includes Scopes,","Source (URL)","Source (Text)","Climate Ambition Alliance","Published Net Zero Plan","Reporting Initiatives"
"Vodafone Group",51.51907630,-0.18167900,"$50,532,400,000",2050,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://www.vodafone.com/our-purpose/planet/reducing-emissions-in-our-operations,Initiative,Yes,Yes,"CDP, SBTi"
Telia,59.36877350,18.00630210,"$9,000,000,000",2030,"In Policy Document",Yes,"Unclear or Undecided",Yes,Yes,https://www.teliacompany.com/en/news/news-articles/2019/telia-company-sets-bold-environmental-goals/,PR,Yes,Yes,"CDP, SBTi"
Telefonica,40.42043810,-3.70175060,"$57,465,900,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,"Unclear or Undecided",https://www.unglobalcompact.org/take-action/events/climate-action-summit-2019/business-ambition/business-leaders-taking-action,Initiative,Yes,Yes,"CDP, SBTi"
Singtel,1.30167400,103.83807660,"$13,300,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://cdn.aws.singtel.com/sustainabilityreport/2019/assets/pdf/climate_change_and_carbon.pdf,Initiative,Yes,Yes,"CDP, SBTi"
Signify,51.44164200,5.46972250,"$260,000,000",2020,"In Policy Document",Yes,Yes,Yes,No,https://www.signify.com/global/sustainability/carbonneutral,PR,Yes,Yes,"CDP, SBTi"
"Royal DSM",50.88817420,5.97949880,"$10,300,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.unglobalcompact.org/take-action/events/climate-action-summit-2019/business-ambition/business-leaders-taking-action,Initiative,No,Yes,"CDP, SBTi"
Orange,48.83321220,2.29421550,"$48,836,500,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.unglobalcompact.org/take-action/events/climate-action-summit-2019/business-ambition/business-leaders-taking-action,Initiative,Yes,Yes,"CDP, SBTi"
Novozymes,55.75695210,12.45459160,"$2,200,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.unglobalcompact.org/take-action/events/climate-action-summit-2019/business-ambition/business-leaders-taking-action,Initiative,Yes,Yes,"CDP, SBTi"
"Natura & Co",-23.51056190,-46.73424400,"$11,000,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://natu.infoinvest.com.br/static/enu/sustentabilidade.asp,PR,Yes,Yes,"CDP, SBTi"
"Levi Strauss & Co",37.79420330,-122.39959950,"$5,600,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,Yes,http://www.levistrauss.com/wp-content/uploads/2018/07/LSCO_Climate_Action_Strategy_2025.pdf,PR,Yes,Yes,"CDP, SBTi"
"KLP Group",59.91386880,10.75224540,"$1,400,000,000",2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://www.unglobalcompact.org/take-action/events/climate-action-summit-2019/business-ambition/business-leaders-taking-action,Initiative,No,No,SBTi
Iberdola,43.26806340,-2.93874480,"$41,395,400,000",2050,"In Policy Document",Yes,"Unclear or Undecided",No,"Unclear or Undecided",https://www.iberdrola.com/wcorp/gc/prod/en_US/corporativos/docs/policy_against_climate_change.pdf,PR,No,Yes,SBTi
"Hewlett Packard",37.41897760,-121.97870970,"$30,852,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www8.hp.com/us/en/hp-information/environment/footprint.html,PR,Yes,No,"CDP, SBTi"
Firmenich,46.22832040,6.07098800,"$3,700,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.firmenich.com/en_INT/sustainability/co-and-energy.html,PR,Yes,Yes,"CDP, SBTi"
AstraZeneca,52.17474860,0.13494350,"$22,000,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.astrazeneca.com/media-centre/press-releases/2020/astrazenecas-ambition-zero-carbon-strategy-to-eliminate-emissions-by-2025-and-be-carbon-negative-across-the-entire-value-chain-by-2030-22012020.html,PR,Yes,Yes,"CDP, SBTi"
"Acciona S.A.",40.51646240,-3.65643060,"$6,440,000,000",2020,"In Policy Document",Yes,No,Yes,No,https://www.acciona.com/sustainability/climate-change/,PR,Yes,Yes,"CDP, SBTi"
"Heidelberg Cement",49.41319740,8.67754100,"$18,000,000,000",2050,"In Policy Document",No,No,Yes,No,https://www.heidelbergcement.com/en/pr-13-05-2019,PR,No,Yes,"CDP, SBTi"
"Anglian Water",52.34630590,-0.19918530,"$1,665,000,000",2030,"In Policy Document",Yes,No,Yes,No,https://www.anglianwater.co.uk/siteassets/household/about-us/aws-air2019.pdf,PR,No,Yes,CDP
Lyft,37.77659730,-122.39194880,"$3,620,000,000",2018,Achieved,Yes,No,N/A,No,https://medium.com/@johnzimmer/all-lyft-rides-are-now-carbon-neutral-55693af04f36,PR,No,Yes,N/A
Avis,40.86528650,-74.41738770,"$8,848,000,000",2011,Achieved,Yes,No,N/A,No,"https://production.rent-at-avis.com/avisonline/lu-gb/avis.nsf/c/siteservice,info,avis_and_the_environment",PR,No,No,N/A
Mace,51.51890250,-0.08813920,"$2,880,000,000",2022,"In Policy Document",Yes,No,Yes,Yes,https://www.macegroup.com/media-centre/200129-mace-announces-it-will-be-net-zero-carbon-in-2020,PR,No,No,N/A
"Burberry Group",51.49485320,-0.12705570,"$3,340,000,000",2022,"In Policy Document",Yes,No,No,No,https://www.burberryplc.com/content/burberry/corporate/en/responsibility/policies-and-commitments/environment/global-environmental-policy.html,PR,Yes,Yes,"CDP, SBTi"
"Verbund AG",48.20817430,16.37381890,"$4,282,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.verbund.com/en-at/about-verbund/responsibility/environment/climate-protection,PR,No,No,"CDP, SBTi"
AkzoNobel,51.98510340,5.89872960,"$10,197,745,600",2050,"In Policy Document",Yes,No,No,No,https://www.akzonobel.com/en/about-us/how-we-operate/position-statements/carbon-neutral-2050,PR,No,Yes,"CDP, SBTi"
"Arla Foods",56.12063790,10.14637870,"$11,470,658,775",2050,"In Policy Document",No,No,Yes,No,https://www.arla.com/company/news-and-press/2019/pressrelease/arla-foods-aims-for-carbon-net-zero-dairy-2845602/,PR,No,Yes,"CDP, SBTi"
"Mahindra Group",19.07598370,72.87765590,"$15,000,000,000",2040,"In Policy Document",Yes,No,Yes,No,https://www.mahindra.com/news-room/press-release/mahindra-group-to-go-carbon-neutral-by-2040-focus-on-energy-efficiency-and-renewable-power,PR,Yes,Yes,"CDP, SBTi"
"John Lewis",51.49643800,-0.14154010,"$12,521,877,000",2050,"In Policy Document",Yes,Yes,Yes,No,http://www.climateaction.org/news/john-lewis-announces-2050-net-zero-emissions-target,Article,No,Yes,CDP
"Marks & Spencer",51.51857340,-0.17509980,"$12,767,404,000",2035,"In Policy Document",Yes,No,No,No,https://corporate.marksandspencer.com/sustainability/business-wide/climate-change,PR,No,Yes,"CDP, SBTi"
"Asahi Group Holdings",35.71074790,139.80163930,"$19,656,084,324",2050,"In Policy Document",No,No,Yes,Yes,https://www.asahigroup-holdings.com/en/ir/pdf/19pdf/190212.pdf,PR,No,Yes,"CDP, SBTi"
Philips,52.36798430,4.90356140,"$21,461,583,000",2020,"In Policy Document",Yes,No,Yes,No,https://www.philips.com/a-w/about/news/archive/standard/news/press/2018/20181206-philips-sets-new-co2-emission-targets-for-the-2020-2040-period-approved-by-the-science-based-targets-initiative.html,PR,Yes,Yes,"CDP, SBTi"
SAP,49.30636890,8.64276930,"$29,159,600,000",2025,"In Policy Document",Yes,No,Yes,No,https://news.sap.com/2017/05/sap-to-go-carbon-neutral-by-2025/,PR,Yes,Yes,"CDP, SBTi"
Danone,48.87436260,2.32274220,"$29,092,300,000",2050,"In Policy Document",Yes,No,No,No,https://www.danone.com/impact/planet/towards-carbon-neutrality.html,PR,Yes,Yes,"CDP, SBTi"
"BT Group",51.51570840,-0.09787970,"$30,743,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.btplc.com/Thegroup/BTUKandWorldwide/BTRegions/England/InTouch/National/Autumn2017/2030carbonemissionstarget/index.htm,PR,Yes,Yes,"CDP, SBTi"
Maersk,55.68780470,12.59704830,"$41,256,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",No,No,https://www.maersk.com/en/about/sustainability/shared-value/decabornising-logistics,PR,Yes,Yes,"CDP, SBTi"
Mars,38.93386760,-77.17726040,"$35,000,000,000",2040,"In Policy Document",Yes,No,Yes,No,https://www.mars.com/global/about-us/policies-and-practices/climate-action-position-statement,PR,No,Yes,"CDP, SBTi"
IKEA,52.16011440,4.49700970,"$42,662,423,600",2030,"In Policy Document",Yes,No,No,No,https://www.ikea.com/gb/en/this-is-ikea/people-planet/energy-resources/,PR,Yes,Yes,"CDP, SBTi"
Daimler,48.77584590,9.18293210,"$189,820,614,500",2039,"In Policy Document",Yes,No,No,Yes,https://www.wired.com/story/daimler-plans-to-make-its-cars-carbon-neutral-by-2039/,PR,No,No,CDP
